company_name,number_of_seat,departure_date,departure_time,duration_minutes,pickup_point,dropoff_point,price_original,price_discounted
FUTA HÀ SƠN,24,15-10-2025,23:40:00,120,Bến xe,Other,390000,0
FUTA HÀ SƠN,34,15-10-2025,22:20:00,120,Bến xe,Other,200000,0
FUTA HÀ SƠN,24,15-10-2025,19:30:00,150,Bến xe,Other,500000,0
FUTA HÀ SƠN,24,15-10-2025,14:20:00,120,Bến xe,Other,390000,0
Thành Trung Limousine,11,15-10-2025,11:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,12:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,10:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,17:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,09:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,9,15-10-2025,07:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,14:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,15:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,13:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,18:00:00,150,Văn phòng,Văn phòng,280000,260000
Nam Quỳnh Anh,22,15-10-2025,22:30:00,180,Bến xe,Other,350000,0
Thành Trung Limousine,11,15-10-2025,19:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,20:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,22:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,23:00:00,150,Văn phòng,Văn phòng,280000,260000
Thành Trung Limousine,11,15-10-2025,16:00:00,150,Văn phòng,Văn phòng,280000,260000
Nam Quỳnh Anh,22,15-10-2025,20:45:00,285,Other,Other,370000,0
Nam Quỳnh Anh,22,15-10-2025,20:15:00,315,Other,Other,370000,0
Nam Quỳnh Anh,22,15-10-2025,21:00:00,270,Other,Other,350000,0
Phú Quý,22,15-10-2025,14:10:00,180,Bến xe,Other,400000,0
Phú Quý,32,15-10-2025,09:50:00,180,Bến xe,Other,300000,0
Vân Anh Limousine,24,15-10-2025,05:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,06:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,07:00:00,180,Bến xe,Bến xe,230000,200000
Vĩnh Quang,10,15-10-2025,09:30:00,205,Văn phòng,Văn phòng,170000,0
Vĩnh Quang,10,15-10-2025,17:30:00,205,Văn phòng,Văn phòng,170000,0
Vĩnh Quang,10,15-10-2025,11:30:00,205,Văn phòng,Văn phòng,170000,0
