,bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m
369,Thành Trung Limousine,17:15:00,Other,20:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
370,Thành Trung Limousine,12:15:00,Other,15:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
371,Thành Trung Limousine,17:15:00,Other,20:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
372,Thành Trung Limousine,14:15:00,Other,17:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
373,Thành Trung Limousine,15:15:00,Other,18:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
374,Thành Trung Limousine,16:15:00,Other,19:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
375,Thành Trung Limousine,16:15:00,Other,19:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
376,Thành Trung Limousine,11:15:00,Other,14:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
377,Thành Trung Limousine,13:15:00,Other,16:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
378,Thành Trung Limousine,15:15:00,Other,18:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
379,Thành Trung Limousine,18:15:00,Other,21:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
380,Thành Trung Limousine,14:15:00,Other,17:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
381,Thành Trung Limousine,13:15:00,Other,16:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
382,Thành Trung Limousine,19:15:00,Other,22:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
383,Thành Trung Limousine,19:15:00,Other,22:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
384,Thành Trung Limousine,09:15:00,Other,12:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
385,Thành Trung Limousine,09:15:00,Other,12:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
386,Thành Trung Limousine,22:15:00,Other,01:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
387,Thành Trung Limousine,22:15:00,Other,01:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
388,Thành Trung Limousine,21:15:00,Other,00:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
389,Thành Trung Limousine,06:15:00,Other,09:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,9,480000,460000,4.0,Wednesday,15-10-2025,165
390,Thành Trung Limousine,21:15:00,Other,00:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
391,Thành Trung Limousine,06:15:00,Other,09:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,9,530000,510000,4.0,Wednesday,15-10-2025,195
392,Nam Quỳnh Anh,19:15:00,Bến xe,21:15:00,Other,Hà Nội,Thanh Hóa,4.5,4.3,4.5,4.2,4.2,4.2,4.7,4.2,2035,32,300000,0,0.0,Wednesday,15-10-2025,120
393,Nam Quỳnh Anh,18:00:00,Other,21:15:00,Other,Hà Nội,Thanh Hóa,4.5,4.3,4.5,4.2,4.2,4.2,4.7,4.2,2035,32,300000,0,0.0,Wednesday,15-10-2025,195
394,Thành Trung Limousine,05:00:00,Văn phòng,07:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120
395,Thành Trung Limousine,06:00:00,Văn phòng,08:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120
396,Thành Trung Limousine,08:00:00,Văn phòng,10:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,230000,210000,9.0,Wednesday,15-10-2025,120
397,Thành Trung Travel,19:30:00,Văn phòng,22:45:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,24,250000,225000,10.0,Wednesday,15-10-2025,195
398,Thành Trung Travel,20:30:00,Văn phòng,23:45:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,24,250000,225000,10.0,Wednesday,15-10-2025,195
399,Thành Trung Travel,16:00:00,Văn phòng,19:15:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,24,250000,225000,10.0,Wednesday,15-10-2025,195
415,Thành Trung Limousine,05:00:00,Văn phòng,07:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,280000,260000,7.0,Wednesday,15-10-2025,150
416,Thành Trung Limousine,08:00:00,Văn phòng,10:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,280000,260000,7.0,Wednesday,15-10-2025,150
417,Thành Trung Limousine,06:00:00,Văn phòng,08:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,280000,260000,7.0,Wednesday,15-10-2025,150
418,Thành Trung Limousine,05:15:00,Other,08:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
419,Thành Trung Limousine,05:15:00,Other,08:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
420,Thành Trung Limousine,07:15:00,Other,10:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
421,Thành Trung Limousine,04:15:00,Other,07:00:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,480000,460000,4.0,Wednesday,15-10-2025,165
422,Thành Trung Limousine,04:15:00,Other,07:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
423,Thành Trung Limousine,07:15:00,Other,10:30:00,Văn phòng,Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3,4.0,113,11,530000,510000,4.0,Wednesday,15-10-2025,195
