,pick_up_point,drop_of_point
335,Văn phòng 64 Võ Chí Công,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
336,Văn phòng 64 Võ Chí Công,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
337,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
338,Văn phòng 64 Võ Chí Công,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
339,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
340,Bến xe Nước Ngầm,Bến xe Thọ Xuân
341,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
342,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
343,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
344,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
345,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
346,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
347,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
348,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
349,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
350,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
351,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
352,Bến xe Nước Ngầm,Big C Thanh Hóa
353,Bến xe Nước Ngầm,Big C Thanh Hóa
354,Bến xe Nước Ngầm,Big C Thanh Hóa
355,Bến xe Nước Ngầm,Big C Thanh Hóa
356,Bến xe Nước Ngầm,Big C Thanh Hóa
357,Văn phòng 16 Hàng Chĩnh,Văn Phòng Thanh Hóa
358,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
359,Văn phòng 64 Võ Chí Công,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
360,Phố Cổ Hà Nội,Gateway Inn Puluong
361,Bến xe Nước Ngầm,Big C Thanh Hóa
362,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
363,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
364,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
365,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
366,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
367,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
368,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
369,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
370,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
371,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
372,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
373,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
374,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
375,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
376,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
377,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
378,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
379,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
380,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
381,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
382,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
383,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
384,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
385,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
386,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
387,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
388,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
389,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
390,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
391,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
392,Bến xe Nước Ngầm,Big C Thanh Hóa
393,Thăng Long Number One,Big C Thanh Hóa
394,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
395,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
396,Văn phòng Hà Nội,Văn Phòng Thanh Hóa
397,Văn phòng Mỹ Đình,Văn phòng Thanh Hóa
398,Văn phòng Mỹ Đình,Văn phòng Thanh Hóa
399,Văn phòng Mỹ Đình,Văn phòng Thanh Hóa
415,Văn phòng Hà Nội,Văn phòng Nghi Sơn
416,Văn phòng Hà Nội,Văn phòng Nghi Sơn
417,Văn phòng Hà Nội,Văn phòng Nghi Sơn
418,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
419,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
420,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
421,Sân bay Nội Bài - Sảnh nội địa,Văn Phòng Thanh Hóa
422,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
423,Sân bay Nội Bài - Sảnh nội địa,Văn phòng Nghi Sơn
